uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"Delivery Note, Delivery date and time",,Misc,Datetime,Delivery date and time,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Delivery service done by",,Misc,Coded,Delivery service done by,,,,Skilled Birth Attendant,Non SBA Health worker,,,,,,,,,,,,,,
,"Delivery Note, Method of Delivery",,Misc,Coded,Delivery method,,,,Spontaneous Vaginal Delivery,Forceps or Vaccum Extractor Delivery,Caesarean Section,,,,,,,,,,,,,
,"Delivery Note, Outcome of Delivery",,Misc,Coded,Delivery outcome,,,,Single live birth,Single stillbirth,Twins both liveborn,Twins one liveborn and one stillborn,Twins both stillborn,Other multiple births all liveborn,Other multiple births some liveborn,Other multiple births all stillborn,,,,,,,,
,"Delivery Note, Fetal Presentation",,Misc,Coded,Presentation,,,,Cephalic Presentation,Shoulder Presentation,Breech Presentation,,,,,,,,,,,,,
,"Delivery Note, Gestation period",,Misc,Numeric,Gestation period,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Mec Stained Liquor",,Misc,Boolean,Mec Stained Liquor,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Method of delivery of placenta",,Misc,Coded,Method of delivery of placenta,,,,Maternal effort,Fundal pressure,Manual removal,Controlled Cord Traction,,,,,,,,,,,,
,"Delivery Note, Placenta delivery status",,Misc,Coded,Placenta delivery status,,,,Complete,Incomplete,Doubtful,,,,,,,,,,,,,
,"Delivery Note, Membrane condition",,Misc,Coded,Membrane condition,,,,Complete,Ragged,Retained,,,,,,,,,,,,,
,"Delivery Note, Perineum condition",,Misc,Coded,Perineum condition,,,,Intact,Episiotomy on mother,"First Degree Perineal Laceration, with Delivery","Second Degree Perineal Laceration, with Delivery","Third Degree Perineal Laceration, with Delivery",,,,,,,,,,,
,"Delivery Note, Suturing",,Misc,Text,Suturing,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Total blood loss",,Misc,Numeric,Total blood loss,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Post delivery drugs",,Misc,Text,Post delivery drugs,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Blood transfusion provided",,Misc,Boolean,Blood transfusion provided,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Blood transfusion quantity",,Misc,Numeric,Blood transfusion quantity,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Liveborn gender",,Misc,Coded,Infant gender,,,,Male,Female,,,,,,,,,,,,,,
,"Delivery Note, Liveborn weight",,Misc,Numeric,Infant weight,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Liveborn APGAR score at 1 minute",,Misc,Numeric,APGAR score at 1 minute,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Liverborn APGAR score at 5 minutes",,Misc,Numeric,APGAR score at 5 minutes,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Liveborn asphyxia",,Misc,Boolean,Asphyxia,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Liveborn defects present",,Misc,Boolean,Defects,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Liveborn defects details",,Misc,Text,Defects if any,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Chlorhexidin applied on cord",,Misc,Boolean,Chlorhexidin applied on cord,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Stillbirth type",,Misc,Coded,Stillbirth type,,,,Not Applicable,Fresh stillbirth,Macerated stillbirth,,,,,,,,,,,,,
,"Delivery Note, Other Complication",,Misc,Text,Other complication,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Main Attendant Name",,Misc,Text,Main Attendant's Name,,,,,,,,,,,,,,,,,,,
,"Delivery Note, Treatment Suggestion",,Misc,Text,Treatment Suggestion,,,,,,,,,,,,,,,,,,,
,"Delivery Note, New Born Status",,Misc,Coded,New born status,,,,Normal,Asphyxiated,Hypothermia,Jaundice,,,,,,,,,,,,
,"Delivery Note, Congenital Anomalities",,Misc,Text,Congenial anomalities,,,,,,,,,,,,,,,,,,,
